Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Chuyên Viên Digital Marketing(Mới),Công ty Cổ phần Tập đoàn Gỗ Minh Long,Hà Nội,Lương: 10 Tr - 16 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-digital-marketing.35C5991D.html
Factory Technical Support  - Chuyên Gia Kỹ Thuật Nhà Máy(Mới),CÔNG TY TNHH RYDER INDUSTRIES VIỆT NAM,Đồng Nai,Lương: 45 Tr - 54 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/factory-technical-support-chuyen-gia-ky-thuat-nha-may.35C599F4.html
Nhân viên kế hoạch sản xuất  (Làm việc tại KCN Long Hậu)(Mới),Công ty TNHH Yura Corporation Vina,Long An,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-hoach-san-xuat-lam-viec-tai-kcn-long-hau.35C599EE.html
Trưởng nhóm kỹ thuật(Mới),CÔNG TY CỔ PHẦN PCM,Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-ky-thuat.35C599EB.html
Kỹ sư công nghệ(Mới),CÔNG TY TNHH COCREATION GRASS CORPORATION VIỆT NAM,Tây Ninh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-cong-nghe.35C599F0.html
Nhân viên thành phẩm  (Làm việc tại KCN Long Hậu)(Mới),Công ty TNHH Yura Corporation Vina,Long An,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-thanh-pham-lam-viec-tai-kcn-long-hau.35C599E6.html
Nhân Viên Chăm sóc khách hàng Ví điện tử MoMo(Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 6,5 Tr - 8,5 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-vi-dien-tu-momo.35C599ED.html
Kỹ sư vận hành và bảo trì hệ thống năng lượng mặt trời(Mới),Công Ty Cổ Phần BCG Energy,Hồ Chí Minh,Lương: 16 Tr - 19 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-van-hanh-va-bao-tri-he-thong-nang-luong-mat-troi.35C599E8.html
"Sales Executive (ISO, Medical Equipment) - P.05(Mới)",TÜV Rheinland Vietnam,Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/sales-executive-iso-medical-equipment-p-05.35C599EA.html
Kỹ Thuật Pha Màu(Mới),CÔNG TY TNHH COCREATION GRASS CORPORATION VIỆT NAM,Tây Ninh,Lương: 12 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-thuat-pha-mau.35C599E9.html
