Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Tây Ninh (Long An cũ) - Giám Sát Cửa Hàng - Skechers Aeon Mall Tân An,CÔNG TY CỔ PHẦN MAISON RETAIL MANAGEMENT INTERNATIONAL,Long An,Lương: Cạnh Tranh,01-10-2025,12-10-2025,https://careerviet.vn/vi/tim-viec-lam/tay-ninh-long-an-cu-giam-sat-cua-hang-skechers-aeon-mall-tan-an.35C530E2.html
Chuyên viên Chính/ Cao Cấp Quan hệ khách hàng ưu tiên - Địa bàn Hà Nội - TA126(Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh Tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-cao-cap-quan-he-khach-hang-uu-tien-dia-ban-ha-noi-ta126.35C59B04.html
Kỹ sư Cơ khí Chế tạo máy (Tự động hoá)(Mới),Tập Đoàn Karofi Holding,Hưng Yên,Lương: 9 Tr - 16 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-co-khi-che-tao-may-tu-dong-hoa.35C59B03.html
Chuyên viên chính/ Chuyên viên cao cấp Tư vấn tài chính cá nhân - Địa bàn Hà Nội - TA126(Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh Tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-tu-van-tai-chinh-ca-nhan-dia-ban-ha-noi-ta126.35C59B01.html
Receivable Accountant (HCM)(Mới),TÜV Rheinland Vietnam,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/receivable-accountant-hcm.35C59AFD.html
"Chuyên Viên Phát Triển Đại Lý (Lương Cứng Tối Thiểu 15.000.000 Vnđ, Thu Nhập Up To 40.000.000 Vnđ)(Mới)",CareerViet's client,Hồ Chí Minh,Lương: 23 Tr - 45 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-dai-ly-luong-cung-toi-thieu-15-000-000-vnd-thu-nhap-up-to-40-000-000-vnd.35C59B00.html
Digital Marketing Specialist (FMCG/ Beverege)(Mới),Công Ty Cổ Phần Goody Group,Hồ Chí Minh,Lương: 20 Tr - 22 Tr VND,01-10-2025,25-10-2025,https://careerviet.vn/vi/tim-viec-lam/digital-marketing-specialist-fmcg-beverege.35C59AFE.html
"Chuyên viên Chính/ Cao Cấp Quan hệ khách hàng ưu tiên - Thái Bình, Hải Dương, Hải Phòng, Quảng Ninh, Hưng Yên - TA126(Mới)",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hưng Yên Hải Dương Quảng Ninh,Lương: Cạnh Tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-cao-cap-quan-he-khach-hang-uu-tien-thai-binh-hai-duong-hai-phong-quang-ninh-hung-yen-ta126.35C59AFF.html
Chuyên viên Digital Marketing (Lương Cứng 14.000.000 Vnđ + Hoa Hồng)(Mới),CareerViet's client,Hồ Chí Minh,Lương: 14 Tr - 17 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-digital-marketing-luong-cung-14-000-000-vnd-hoa-hong.35C59AFC.html
Logistics Supervisor(Mới),Công Ty Cổ Phần Goody Group,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,11-10-2025,https://careerviet.vn/vi/tim-viec-lam/logistics-supervisor.35C59AF3.html
Thực Tập Sinh Chứng Khoán (Thu Nhập Không Giới Hạn) (Mới),CareerViet's client,Hồ Chí Minh,Lương: 5 Tr - 18 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-chung-khoan-thu-nhap-khong-gioi-han.35C59AFB.html
Thực Tập Sinh Chứng Khoán (Thu Nhập Không Giới Hạn) (Mới),CareerViet's client,Hồ Chí Minh,Lương: 5 Tr - 18 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-chung-khoan-thu-nhap-khong-gioi-han.35C59AFB.html
"Thực Tập Sinh Pháp Lý (Phụ Cấp 3.000.000 Vnđ, Hỗ Trợ Mộc Và Số Liệu) (Mới)",CareerViet's client,Hồ Chí Minh,"Lương: 3 Tr - 6,5 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-phap-ly-phu-cap-3-000-000-vnd-ho-tro-moc-va-so-lieu.35C59AF9.html
"Thực Tập Sinh Marketing (Thu Nhập Up To 30.000.000 Vnđ, Không Vướng Lịch Học) (Mới)",CareerViet's client,Hồ Chí Minh,Lương: 6 Tr - 15 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-marketing-thu-nhap-up-to-30-000-000-vnd-khong-vuong-lich-hoc.35C59AF8.html
[THỰC TẬP SINH NGÂN HÀNG – KHÔNG YÊU CẦU KINH NGHIỆM] (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 4 Tr - 6,5 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-ngan-hang-khong-yeu-cau-kinh-nghiem.35C59AF7.html
Ecommerce Intern (Lương Cứng 7 Triệu + Số Liệu + Con Dấu) (Mới),CareerViet's client,Hồ Chí Minh,Lương: 5 Tr - 7 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/ecommerce-intern-luong-cung-7-trieu-so-lieu-con-dau.35C59AF5.html
Trưởng Nhóm Dịch Vụ Khách Hàng - CN Việt Hưng - TA126 (Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-dich-vu-khach-hang-cn-viet-hung-ta126.35C59AF6.html
Thực Tập Sinh Thương Mại Điện Tử  (Phụ Cấp + Số Liệu + Dấu Mộc) (Mới),CareerViet's client,Hồ Chí Minh,Lương: 5 Tr - 8 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-thuong-mai-dien-tu-phu-cap-so-lieu-dau-moc.35C59AF4.html
"Thực Tập Sinh Kinh Doanh (Thu Nhập Up To 20 Triệu, Hỗ Trợ Số Liệu + Mộc) (Mới)",CareerViet's client,Hồ Chí Minh,Lương: 5 Tr - 20 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-kinh-doanh-thu-nhap-up-to-20-trieu-ho-tro-so-lieu-moc.35C59AF1.html
Thực Tập Sinh Chăm Sóc Khách Hàng (Phụ Cấp 5.000.000 Vnđ + Số Liệu + Dấu Mộc) (Mới),CareerViet's client,Hồ Chí Minh,Lương: 5 Tr - 7 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-cham-soc-khach-hang-phu-cap-5-000-000-vnd-so-lieu-dau-moc.35C59AF0.html
"Garment QC Inspector (Y Yen, Nam Dinh) (Mới)",TÜV Rheinland Vietnam,Hà Nội,Lương: Cạnh tranh,01-10-2025,10-10-2025,https://careerviet.vn/vi/tim-viec-lam/garment-qc-inspector-y-yen-nam-dinh.35C59AEC.html
Thực Tập Sinh Kế Hoạch Đầu Tư (Phụ Cấp Thực Tập Up To 5.000.000 Vnđ + Con Dấu + Số Liệu) (Mới),CareerViet's client,Hồ Chí Minh,Lương: 3 Tr - 5 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-ke-hoach-dau-tu-phu-cap-thuc-tap-up-to-5-000-000-vnd-con-dau-so-lieu.35C59AEE.html
Merchandising Specialist (Mới),Yes4All Trading Services Company Limited,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/merchandising-specialist.35C59AEF.html
Giám Đốc Sàn (Thu Nhập Up To 100.000.000 Vnđ) (Mới),CareerViet's client,Hồ Chí Minh,Lương: 50 Tr - 100 Tr VND,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/giam-doc-san-thu-nhap-up-to-100-000-000-vnd.35C59AED.html
Trưởng phòng Sản xuất nội dung (Mới),Công Ty Cổ Phần Tập Đoàn Đầu Tư Địa Ốc No Va,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-san-xuat-noi-dung.35C59AEA.html
Trưởng phòng Kinh doanh Khách hàng Ưu tiên - CN Việt Hưng - TA 126 (Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-khach-hang-uu-tien-cn-viet-hung-ta-126.35C59AEB.html
Chuyên Viên Cao Cấp Quản Lý Chất Lượng (QA) (Mới),CÔNG TY TNHH MTV CHẾ TÁC VÀ KINH DOANH TRANG SỨC PNJ,Hồ Chí Minh,Lương: 20 Tr - 23 Tr VND,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-ly-chat-luong-qa.35C59AE6.html
"Garment QC Inspector (Gia Vien, Ninh Binh) (Mới)",TÜV Rheinland Vietnam,Hà Nội,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/garment-qc-inspector-gia-vien-ninh-binh.35C59AE5.html
Training Senior Executive (Mới),Công ty TNHH GS25 Vietnam,Hà Nội,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/training-senior-executive.35C59AE8.html
[HN] Talent Acquisition Executive (Mới),Công Ty Cổ Phần Tập Đoàn Golden Gate - Chi nhánh Miền Nam,Hà Nội,Lương: Cạnh tranh,01-10-2025,11-12-2025,https://careerviet.vn/vi/tim-viec-lam/hn-talent-acquisition-executive.35C59AE9.html
Senior Sales Engineer - Chinese (Mới),HR Vietnam’s ESS Client,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/senior-sales-engineer-chinese.35C59AE7.html
"Kế Toán Tổng Hợp, Tài Sản Cố Định, Thuế(Mới)",Cat Loi - Công ty Cổ Phần Cát Lợi,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-tong-hop-tai-san-co-dinh-thue.35C59A4B.html
Kế Toán Nội Bộ(Mới),CÔNG TY TNHH CBS VIỆT NAM,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-noi-bo.35C59AE4.html
Chuyên viên QS(Mới),Công Ty CP Xây Dựng Số 1 (COFICO),Hồ Chí Minh,Lương: 15 Tr - 20 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-qs.35C59AE2.html
Garment QC Inspector (Hanoi) - 02 vacants - P.IN(Mới),TÜV Rheinland Vietnam,Singapore,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/garment-qc-inspector-hanoi-02-vacants-p-in.35C59ADB.html
Quản lý Cơ sở - Mầm non(Mới),Công ty TNHH Giáo dục Khai Nguyên,Hồ Chí Minh,Lương: 9 Tr - 11 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/quan-ly-co-so-mam-non.35C59ADF.html
Chuyên viên Nguyên cứu thị trường - Ban ALM(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Lương: Cạnh Tranh,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-nguyen-cuu-thi-truong-ban-alm.35C59AE3.html
Nhân viên kinh doanh/Sales/Tư vấn (Hà Nội) - CÓ SẴN DATA(Mới),CÔNG TY CỔ PHẦN HỌC VIỆN MINH TRÍ THÀNH,Hà Nội,Lương: 15 Tr - 50 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-sales-tu-van-ha-noi-co-san-data.35C59AE1.html
Nhân viên Bán hàng ( Lương cứng 7.250.000 VNĐ)(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 7,3 Tr - 14,1 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ban-hang-luong-cung-7-250-000-vnd.35C59AE0.html
Giám Đốc Sàn Kinh Doanh Bất Động Sản(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 25,3 Tr - 51,2 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/giam-doc-san-kinh-doanh-bat-dong-san.35C59ADD.html
Trưởng Phòng Vận Tải (Bình Dương)(Mới),Công ty TNHH YCH - Protrade,Bình Dương,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-van-tai-binh-duong.35C59AB5.html
Trưởng phòng Phát triển Đại lý (Bất Động sản)(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 34,8 Tr - 48,3 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-phat-trien-dai-ly-bat-dong-san.35C59ADC.html
Trưởng phòng Kinh doanh Bất Động sản(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 32,1 Tr - 45,3 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-bat-dong-san.35C59ADA.html
Thực tập sinh Quan hệ Khách hàng (Lương cứng 6.900.000 VNĐ)(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 6,9 Tr - 9,6 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-quan-he-khach-hang-luong-cung-6-900-000-vnd.35C59AD8.html
Recruitment Expert ( Mass Recruitment)(Mới),FE CREDIT,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/recruitment-expert-mass-recruitment.35C59AD7.html
PURCHASING MANAGER(Mới),Công ty TNHH Giày Apache Việt Nam,Tiền Giang,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/purchasing-manager.35C59AD5.html
Digital Marketing(Mới),Công ty TNHH Minh Hương P.N.D (thương hiệu thời trang mặc nhà cao cấp Sunfly),Hà Nội,Lương: 15 Tr - 20 Tr VND,01-10-2025,30-12-2025,https://careerviet.vn/vi/tim-viec-lam/digital-marketing.35C59AD4.html
